Glass_number,Filename,Si_O_Si_Bond_angle,O_Si_O_bond_angle,number_bridge_oxygen,env_chem_si,env_chem_al,Activation_barrier,initial_water_si_distance,Stress,Shear
glass_num_2,O_406_Si_713,162.4174115,169.1050591,3,3,0,1.541683173,3.14,-0.206940868,6.11E-02
glass_num_2,O_574_Si_716,155.6794728,163.6136746,3,3,0,1.184846024,2.9,-0.282141603,0.112964961
glass_num_2,O_532_Si_721,135.8281193,174.511993,3,3,0,1.49509465,3.169,-0.242964986,5.59E-02
glass_num_3,O_475_Si_581,146.6097576,145.123279,4,4,0,1.532529327,3.497,-0.194819599,0.110440858
glass_num_3,O_373_Si_588,150.2947899,174.9178178,4,4,0,1.327837873,3.223,-0.248816984,0.106514069
glass_num_3,O_370_Si_590,124.6983979,171.4551135,3,3,0,1.236172658,2.984,-0.17182032,8.90E-02
glass_num_3,O_406_Si_597,129.6587836,160.3425988,3,3,0,1.378549054,3.216,-0.178768182,0.137234174
glass_num_3,O_85_Si_609,153.884035,144.1227589,4,4,0,0.355157039,3.206,-0.124123954,0.172953757
glass_num_3,O_277_Si_614,158.2810514,170.9648431,3,3,0,1.377561689,3.015,-0.180270601,0.120958035
glass_num_3,O_256_Si_615,162.0827298,169.721945,3,3,0,1.296896257,3.333,-0.18103708,0.12767185
glass_num_3,O_19_Si_636,149.1369173,174.1258045,3,3,0,1.512910891,3.238,-0.206571487,0.109288033
glass_num_3,O_346_Si_638,167.6127822,164.6084672,4,4,0,1.114475725,3.198,-0.229706149,0.13192304
glass_num_3,O_481_Si_646,151.6913205,166.694355,4,4,0,1.051843722,3.268,-0.174190069,0.1644856
glass_num_3,O_109_Si_649,171.054889,163.7132269,3,3,0,1.270414651,3.278,-0.225899448,9.97E-02
glass_num_3,O_574_Si_651,131.7760926,174.3521057,4,4,0,1.194838339,3.399,-0.172905796,7.76E-02
glass_num_3,O_166_Si_660,133.8292164,178.2559512,3,3,0,1.477982777,3.087,-0.181891062,0.153522187
glass_num_3,O_43_Si_668,135.404945,154.1669849,4,4,0,0.671595829,3.384,-0.191587264,9.98E-02
glass_num_3,O_271_Si_670,152.8518342,171.3156735,3,3,0,1.612842868,3.315,-0.141823554,7.07E-02
glass_num_3,O_427_Si_674,146.1010543,174.8420222,3,3,0,1.727925138,3.019,-0.184819486,9.20E-02
glass_num_3,O_4_Si_691,154.0335087,170.37126,3,3,0,0.877951469,3.145,-0.205747063,7.62E-02
glass_num_3,O_7_Si_695,123.6897628,161.4611742,4,4,0,0.787309293,3.375,-0.235624773,0.119691638
glass_num_4,O_166_Si_593,171.8986872,168.9423104,4,4,0,0.970350745,3.473,-0.188381797,5.66E-02
glass_num_4,O_37_Si_607,137.188913,155.0961145,3,3,0,1.07238513,3.49,-0.202019619,0.125640353
glass_num_4,O_304_Si_609,148.7828855,153.5138634,4,4,0,1.503155895,3.311,-0.202261259,0.112816304
glass_num_4,O_142_Si_611,145.3236232,167.4560513,4,4,0,1.209665355,3.318,-0.209672368,8.57E-02
glass_num_4,O_124_Si_615,165.8023235,156.2684808,3,3,0,0.735028565,3.375,-0.318017213,0.15689275
